credit_policy,purpose,interest_rate,installment,annnual_income,dti,fico,days_with_cr_line,revol_bal,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,not_fully_paid
1,debt_consolidation,0.1189,829.1,85000,19.48,737,5639.96,28854,52.1,0,0,0,0
1,credit_card,0.1071,228.22,65000,14.29,707,2760,33623,76.7,0,0,0,0
1,debt_consolidation,0.1357,366.86,32000,11.63,682,4710,3511,25.6,1,0,0,0
1,debt_consolidation,0.1008,162.34,85000,8.1,712,2699.96,33667,73.2,1,0,0,0
1,credit_card,0.1426,102.92,80800,14.97,667,4066,4740,39.5,0,1,0,0
1,credit_card,0.0788,125.13,148000,16.98,727,6120.04,50807,51,0,0,0,0
1,debt_consolidation,0.1496,194.02,45000,4,667,3180.04,3839,76.8,0,0,1,1
1,all_other,0.1114,131.22,60000,11.08,722,5116,24220,68.6,0,0,0,1
1,home_improvement,0.1134,87.19,90000,17.25,682,3989,69909,51.1,1,0,0,0
1,debt_consolidation,0.1221,84.12,27000,10,707,2730.04,5630,23,1,0,0,0
1,debt_consolidation,0.1347,360.43,34000,22.09,677,6713.04,13846,71,2,0,1,0
1,debt_consolidation,0.1324,253.58,138000,9.16,662,4298,5122,18.2,2,1,0,0
1,debt_consolidation,0.0859,316.11,56000,15.49,767,6519.96,6068,16.7,0,0,0,0
1,small_business,0.0714,92.82,100000,6.5,747,4384,3021,4.8,0,1,0,0
1,debt_consolidation,0.0863,209.54,13200,9.73,727,1559.96,6282,44.6,0,0,0,0
1,major_purchase,0.1103,327.53,46116,13.04,702,8159.96,5394,53.4,1,0,0,0
1,all_other,0.1317,77.69,37152,2.26,672,3895.96,2211,88.4,0,0,0,0
1,credit_card,0.0894,476.58,110000,7.07,797,6510.96,7586,52.7,1,0,0,0
1,debt_consolidation,0.1039,584.12,36000,3.8,712,2760,8311,59.8,0,0,0,0
1,major_purchase,0.1513,173.65,60000,2.74,667,1126.96,591,84.4,3,0,0,0
1,all_other,0.08,188.02,75000,16.08,772,4888.96,29797,23.2,1,0,0,0
1,all_other,0.0863,474.42,50000,2.59,797,11951,5656,27.6,0,0,0,0
1,credit_card,0.1355,339.6,100000,7.94,662,1939.96,21162,57.7,0,0,0,0
1,credit_card,0.0788,484.85,125000,7.05,782,5640.04,16931,34.6,1,0,0,0
1,debt_consolidation,0.1229,320.19,78000,8.8,672,3760.96,4822,58.1,0,0,1,0
1,all_other,0.0901,159.03,250000,10,712,1553.96,14354,36.6,0,2,0,0
1,all_other,0.0743,155.38,65000,0.28,802,4649.96,1576,5.7,1,0,0,0
1,debt_consolidation,0.1375,255.43,22000,14.29,662,1318.96,4175,51.5,0,1,0,0
1,all_other,0.0743,155.38,200000,0.28,772,4516.96,3164,13.7,0,0,0,0
1,all_other,0.0743,155.38,200000,3.72,812,6778.96,85607,0.7,0,0,0,0
1,debt_consolidation,0.0807,156.84,100000,2.3,742,3148.96,9698,19.4,0,0,0,0
1,credit_card,0.1028,275.38,18000,6.4,692,7469.96,8847,26.9,1,1,0,0
1,home_improvement,0.0743,155.38,150000,0,777,7128.96,6053,19.5,0,0,0,0
